sourceId,destinationId,rel
104281002,8992008,is-a
104284005,8992008,is-a
104285006,8992008,is-a
104286007,8992008,is-a
104287003,8992008,is-a
104288008,8992008,is-a
104291008,8992008,is-a
104294000,8992008,is-a
104297007,8992008,is-a
104301003,121258006,is-a
104303000,121258006,is-a
104305007,118121008,is-a
104307004,121258006,is-a
104308009,104305007,is-a
104311005,121258006,is-a
178124003,657004,is-a
104314002,121258006,is-a
178156005,281766007,is-a
178157001,281766007,is-a
104316000,121258006,is-a
104318004,88667002,is-a
104325006,121258006,is-a
104328008,121258006,is-a
104328008,314067002,is-a
178280004,40609001,is-a
178280004,80113008,is-a
104332002,31676001,is-a
178485006,56036004,is-a
178517008,239541009,is-a
178530009,239541009,is-a
178534000,178530009,is-a
178583001,302130002,is-a
178600005,302129007,is-a
104380004,121258006,is-a
104381000,104380004,is-a
104387001,104380004,is-a
104390007,314067002,is-a
104390007,359812000,is-a
104399008,77159001,is-a
104401002,359812000,is-a
104401002,314067002,is-a
179029002,311420007,is-a
104409000,45101000,is-a
179109001,239282005,is-a
104416004,104410005,is-a
104417008,55284006,is-a
179229008,178832008,is-a
10446001,6042001,is-a
104471003,122444009,is-a
104471003,250300004,is-a
104485008,26758005,is-a
179856001,239461001,is-a
180016001,76956004,is-a
180030006,119686008,is-a
180047007,180045004,is-a
10451007,93064005,is-a
10451007,79439001,is-a
180234006,128116006,is-a
104530006,104496000,is-a
104531005,104496000,is-a
180289009,118480003,is-a
180325003,281572005,is-a
104568008,74040009,is-a
104613001,74500006,is-a
104613001,16614002,is-a
104630004,74040009,is-a
104649000,122444009,is-a
104660009,122446006,is-a
181768009,245255009,is-a
10469003,43339004,is-a
10469003,128289001,is-a
104692005,122444009,is-a
104713006,74040009,is-a
104714000,74040009,is-a
182159002,56717001,is-a
104739009,122445005,is-a
104749007,121852004,is-a
182353008,272424004,is-a
104765008,121277008,is-a
104772009,115340009,is-a
182750009,182744004,is-a
182750009,341939001,is-a
182793009,281691001,is-a
104798003,122444009,is-a
104830002,122446006,is-a
104848006,278297009,is-a
104848006,74040009,is-a
183515008,306253008,is-a
183529009,306253008,is-a
183541002,306253008,is-a
183543004,306180006,is-a
183561008,306253008,is-a
104889009,122445005,is-a
10491005,58170007,is-a
104923007,122446006,is-a
184099003,302147001,is-a
104936007,122445005,is-a
184216000,307851007,is-a
184598004,230842002,is-a
104980007,74040009,is-a
104986001,74040009,is-a
104988000,122444009,is-a
105011006,24509005,is-a
185086009,63480004,is-a
185113005,30171000,is-a
105030006,122446006,is-a
185283008,308930007,is-a
185303007,305762001,is-a
185324002,305058001,is-a
10509002,32398004,is-a
10509002,128482007,is-a
185973002,270459005,is-a
105134000,44787002,is-a
186178000,233795005,is-a
186270000,185113005,is-a
186270000,363732003,is-a
105200005,121687002,is-a
186648008,34853001,is-a
186658007,53648006,is-a
105205000,121702002,is-a
186659004,195662009,is-a
186659004,53648006,is-a
105213004,44787002,is-a
186747009,27619001,is-a
186748004,83223005,is-a
105247001,574005,is-a
187033005,52570007,is-a
187065008,69996000,is-a
187091009,42386007,is-a
187100003,76627001,is-a
105263009,574005,is-a
187115002,10087007,is-a
105294009,105079003,is-a
105309008,74754006,is-a
187692001,126680004,is-a
10533008,36030000,is-a
105332007,250491007,is-a
105350000,58427002,is-a
187921002,280032002,is-a
1054002,235582004,is-a
188361007,255058005,is-a
105418006,67591007,is-a
188557000,301938007,is-a
188725004,93143009,is-a
188732008,93143009,is-a
105461009,105455006,is-a
105462002,105461009,is-a
105463007,105461009,is-a
105464001,105461009,is-a
105481005,289136006,is-a
105483008,365576006,is-a
105483008,52184009,is-a
105488004,248539004,is-a
105490003,359752005,is-a
189176002,42030000,is-a
189176002,40733004,is-a
1055001,62914000,is-a
105501005,248536006,is-a
105510002,56098000,is-a
105513000,105510002,is-a
105513000,365504008,is-a
105514006,105510002,is-a
105514006,266959008,is-a
105515007,105510002,is-a
189336000,109355002,is-a
105518009,105515007,is-a
10552002,19829001,is-a
105551000,60134006,is-a
105552007,105551000,is-a
105593004,237840007,is-a
105597003,63102001,is-a
105599000,271737000,is-a
105600002,54097007,is-a
105602005,105600002,is-a
105603000,54097007,is-a
105606008,928000,is-a
105615001,48125009,is-a
105615001,125643001,is-a
105616000,125643001,is-a
105630005,34014006,is-a
105631009,34014006,is-a
105633007,34014006,is-a
105634001,34014006,is-a
105635000,34014006,is-a
105637008,111910009,is-a
105638003,105658002,is-a
105640008,128942007,is-a
105641007,62005008,is-a
105642000,62005008,is-a
105648001,128942007,is-a
105654000,62005008,is-a
105655004,128942007,is-a
105658002,95896000,is-a
105661001,26089000,is-a
190268003,40930008,is-a
190293001,82119001,is-a
190293001,128482007,is-a
105680004,86133004,is-a
105682007,105680004,is-a
190459003,73132005,is-a
105683002,105680004,is-a
190502001,237669001,is-a
190502001,237734007,is-a
190507007,88213004,is-a
105694003,84706005,is-a
105695002,84706005,is-a
105697005,84706005,is-a
105702001,84706005,is-a
190633005,85670002,is-a
190634004,47903000,is-a
105706003,84706005,is-a
190656001,238117007,is-a
105709005,84706005,is-a
190745006,237963003,is-a
190749000,237972006,is-a
105719004,82832008,is-a
105719004,365860008,is-a
105721009,118222006,is-a
190785000,267436001,is-a
105723007,301343009,is-a
105723007,118227000,is-a
190794006,238028008,is-a
105724001,82832008,is-a
105724001,365860008,is-a
105726004,118222006,is-a
